without bias model results (i/p->1, o/p->2 (expected));

w/o eps: 0.036322, w/t eps: 0.035461, w: 1.923123
w/o eps: 0.035461, w/t eps: 0.034620, w: 1.924039
w/o eps: 0.034620, w/t eps: 0.033799, w: 1.924945
w/o eps: 0.033799, w/t eps: 0.032998, w: 1.925840
w/o eps: 0.032998, w/t eps: 0.032216, w: 1.926724
w/o eps: 0.032216, w/t eps: 0.031453, w: 1.927597
w/o eps: 0.031453, w/t eps: 0.030708, w: 1.928460
w/o eps: 0.030708, w/t eps: 0.029980, w: 1.929312
w/o eps: 0.029980, w/t eps: 0.029270, w: 1.930155
w/o eps: 0.029270, w/t eps: 0.028577, w: 1.930987
w/o eps: 0.028577, w/t eps: 0.027900, w: 1.931809
w/o eps: 0.027900, w/t eps: 0.027239, w: 1.932621
w/o eps: 0.027239, w/t eps: 0.026594, w: 1.933424
w/o eps: 0.026594, w/t eps: 0.025964, w: 1.934217
w/o eps: 0.025964, w/t eps: 0.025350, w: 1.935000
w/o eps: 0.025350, w/t eps: 0.024750, w: 1.935774
w/o eps: 0.024750, w/t eps: 0.024164, w: 1.936539
w/o eps: 0.024164, w/t eps: 0.023592, w: 1.937295
w/o eps: 0.023592, w/t eps: 0.023033, w: 1.938041
w/o eps: 0.023033, w/t eps: 0.022488, w: 1.938779
w/o eps: 0.022488, w/t eps: 0.021956, w: 1.939507
w/o eps: 0.021956, w/t eps: 0.021437, w: 1.940227
w/o eps: 0.021437, w/t eps: 0.020929, w: 1.940939
w/o eps: 0.020929, w/t eps: 0.020434, w: 1.941641
w/o eps: 0.020434, w/t eps: 0.019951, w: 1.942336
w/o eps: 0.019951, w/t eps: 0.019479, w: 1.943022
w/o eps: 0.019479, w/t eps: 0.019018, w: 1.943700
w/o eps: 0.019018, w/t eps: 0.018569, w: 1.944369
w/o eps: 0.018569, w/t eps: 0.018130, w: 1.945031
w/o eps: 0.018130, w/t eps: 0.017701, w: 1.945684
w/o eps: 0.017701, w/t eps: 0.017283, w: 1.946330
w/o eps: 0.017283, w/t eps: 0.016874, w: 1.946968
w/o eps: 0.016874, w/t eps: 0.016475, w: 1.947599
w/o eps: 0.016475, w/t eps: 0.016086, w: 1.948222
w/o eps: 0.016086, w/t eps: 0.015706, w: 1.948837
w/o eps: 0.015706, w/t eps: 0.015335, w: 1.949445
w/o eps: 0.015335, w/t eps: 0.014973, w: 1.950046
w/o eps: 0.014973, w/t eps: 0.014619, w: 1.950639
w/o eps: 0.014619, w/t eps: 0.014274, w: 1.951226
w/o eps: 0.014274, w/t eps: 0.013937, w: 1.951805
w/o eps: 0.013937, w/t eps: 0.013608, w: 1.952377
w/o eps: 0.013608, w/t eps: 0.013286, w: 1.952943
w/o eps: 0.013286, w/t eps: 0.012973, w: 1.953501
w/o eps: 0.012973, w/t eps: 0.012666, w: 1.954054
w/o eps: 0.012666, w/t eps: 0.012368, w: 1.954599
w/o eps: 0.012368, w/t eps: 0.012076, w: 1.955138
w/o eps: 0.012076, w/t eps: 0.011791, w: 1.955670
w/o eps: 0.011791, w/t eps: 0.011513, w: 1.956196
w/o eps: 0.011513, w/t eps: 0.011241, w: 1.956716
w/o eps: 0.011241, w/t eps: 0.010976, w: 1.957229
w/o eps: 0.010976, w/t eps: 0.010717, w: 1.957736
w/o eps: 0.010717, w/t eps: 0.010465, w: 1.958238
w/o eps: 0.010465, w/t eps: 0.010218, w: 1.958733
w/o eps: 0.010218, w/t eps: 0.009977, w: 1.959222
w/o eps: 0.009977, w/t eps: 0.009742, w: 1.959705
w/o eps: 0.009742, w/t eps: 0.009512, w: 1.960183
w/o eps: 0.009512, w/t eps: 0.009288, w: 1.960655
w/o eps: 0.009288, w/t eps: 0.009069, w: 1.961121
w/o eps: 0.009069, w/t eps: 0.008856, w: 1.961582
w/o eps: 0.008856, w/t eps: 0.008647, w: 1.962037
w/o eps: 0.008647, w/t eps: 0.008444, w: 1.962486
w/o eps: 0.008444, w/t eps: 0.008245, w: 1.962930
w/o eps: 0.008245, w/t eps: 0.008051, w: 1.963369
w/o eps: 0.008051, w/t eps: 0.007861, w: 1.963803
w/o eps: 0.007861, w/t eps: 0.007676, w: 1.964231
w/o eps: 0.007676, w/t eps: 0.007496, w: 1.964654
w/o eps: 0.007496, w/t eps: 0.007320, w: 1.965073
w/o eps: 0.007320, w/t eps: 0.007147, w: 1.965486
w/o eps: 0.007147, w/t eps: 0.006979, w: 1.965894
w/o eps: 0.006979, w/t eps: 0.006815, w: 1.966297
w/o eps: 0.006815, w/t eps: 0.006655, w: 1.966696
w/o eps: 0.006655, w/t eps: 0.006499, w: 1.967089
w/o eps: 0.006499, w/t eps: 0.006346, w: 1.967478
w/o eps: 0.006346, w/t eps: 0.006197, w: 1.967863
w/o eps: 0.006197, w/t eps: 0.006051, w: 1.968242
w/o eps: 0.006051, w/t eps: 0.005909, w: 1.968617
w/o eps: 0.005909, w/t eps: 0.005770, w: 1.968988
w/o eps: 0.005770, w/t eps: 0.005635, w: 1.969354
w/o eps: 0.005635, w/t eps: 0.005503, w: 1.969716
w/o eps: 0.005503, w/t eps: 0.005374, w: 1.970073
w/o eps: 0.005374, w/t eps: 0.005248, w: 1.970427
w/o eps: 0.005248, w/t eps: 0.005124, w: 1.970775
